2.221973689,120
,
232.0318428,76
,
461.8417118,38
,
691.6515809,33
,
921.46145,28
,
1151.271319,31
,
1381.081188,18
,
1610.891057,11
,
1840.700926,15
,
2070.510795,8
,
2300.320664,8
,
2530.130533,10
,
2759.940403,8
,
2989.750272,5
,
3219.560141,5
,
3449.37001,5
,
3679.179879,2
,
3908.989748,5
,
4138.799617,4
,
4368.609486,1
,
4598.419355,5
,
4828.229224,1
,
5058.039093,1
,
5287.848962,2
,
5517.658831,1
,
5747.4687,0
,
5977.27857,0
,
6207.088439,0
,
6436.898308,0
,
6666.708177,2
,
6896.518046,1
,
7126.327915,0
,
7356.137784,0
,
7585.947653,0
,
7815.757522,0
,
8045.567391,2
,
8275.37726,0
,
8505.187129,0
,
8734.996998,1
,
8964.806867,0
,
9194.616737,1
,
9424.426606,0
,
9654.236475,1
,
9884.046344,0
,
10113.85621,1
